"id","name","sponsor","event","venue","place","physical_description","occasion","notes","call_number","date","location","currency","currency_symbol","status","page_count","dish_count"
12492,"","WILSON COLLEGE ALUMNAE ASSOCIATION","DINNER","EDUC","HOEL FLANDERS","BOOKLET, ILLUS; COL; 5 X 6.25;","ANNIVERSARY","PORTRAIT OF HEAD OF COLONIAL WOMAN; SPEECHES; PALE BLUE, WHITE RIBBONS;","1900-2890","1900-04-20","WILSON COLLEGE ALUMNAE ASSOCIATION","","","COMPLETE",10,14
12493,"","CANADIAN PACIFIC RAILWAY","LUNCH","COMMERCIAL","EN ROUTE ABOARD RMS EMPRESS OF CHINA","CARD; 4.5 X 7;","","ITEMS ON MENU ARE NUMBERED; FLAG LOGO;","1900-2891","1900-04-20","CANADIAN PACIFIC RAILWAY","","","COMPLETE",2,39
12494,"","KNIGHTS OF REVELRY","ANNIVERSARY BANQUET","SOC","GERMAN RELIEF HALL MOBILE AL","BOOKLET; ILLUS; 4.5 X 6.5;","ANNIVERSARY","WINES; OYSTER AND FORK ON COVER; THEATRICAL MAKS ON INSIDE PAGE;","1900-2892","1900-04-21","KNIGHTS OF REVELRY","","","COMPLETE",8,22
12495,"","VETERANS AMERICAN GUARD","TWENTYNINTH ANNUAL DINNER","MIL","ST DENNIS HOTEL","BOOKLET; ILLUS; 4 X 5.5;","ANNIVERSARY","EMBOSSED LOGO ON COVER; SPEECHES;","1900-2893","1900-04-20","VETERANS AMERICAN GUARD","","","COMPLETE",8,20
12497,"","CUNARD LINE","DINNER","COMMERCIAL","EN ROUTE ABOARD RMS LUCANIA","CARD; 4.25 X 6.5;","","CUNARD LINE LOGO; PRICED WINE LIST ON BACK WITH PRICES IN BRITISH CURRENCY;","1900-2902","1900-04-21","CANADIAN PACIFIC RAILWAY COMPANY","","","COMPLETE",2,38
12498,"","CAFE BOULEVARD","SUNDAY DINNER","COMMERCIAL","156 SECOND AVENUE NY","CARD; COL; ILLUS; 5 X 7;","","PRIX FIXE DINNER; FOOD APPEARS TO BE HUNGARIAN;PALE BLUE; ORNAMENTAL BORDER;","1900-2903","1900-04-22","CAFE BOULEVARD","CENTS","c","COMPLETE",2,17
12499,"","PACIFIC MAIL STEAMSHIP CO.","LUNCH","COMMERCIAL","EN ROUTE ABOARD PANAMA LINE STEAMSHIP CITY OF PARA","BROADSIDE; 6 X 9;","","ORNAMENTAL BORDER;","1900-2909","1900-04-22","PACIFIC MAIL STEAMSHIP CO","","","COMPLETE",2,14
12500,"","MORNING NEWSPAPER BOWLING LEAGUE","ANNUAL DINNER","SOC","MOUQUINS","CARD;COL;4X6.5;","ANNIVERSARY","","1900-2911","1900-04-22","MORNING NEWSPAPER BOWLING LEAGUE","","","COMPLETE",2,23
12501,"","CUNARD LINE","BREAKFAST","COMMERCIAL","RMS LUCANIA","CARD;ILL;COL;4.25X6.5;","DAILY","WINE LIST ON BACK;FLAG;","1900-2917","1900-04-23","CUNARD LINE","","","COMPLETE",2,97
12502,"","CUNARD LINE","LUNCHEON","COMMERCIAL","RMS LUCANIA","CARD;ILL;COL;4.25X6.5;","DAILY","WINE LIST ON BACK;FLAG;","1900-2918","1900-04-23","CUNARD LINE","","","COMPLETE",2,90
12503,"","POLICE DEPARTMENT OF THE CITY OF NEW YORK","SEVENTH ANNUAL DINNER","GOVT","DELMONICOS","FOL; 4.75 x 7.25;","","SEAL ON COVER; FRENCH; INCLUDES WINES SERVED WITH EACH COURSE; LIST OF NAMES OF SUPERINTENDENT, INSPECTORS AND PRECINCT CAPTAINS","1888-0010","1888-01-23","POLICE DEPARTMENT OF THE CITY OF NEW YORK","","","COMPLETE",3,30
12504,"","U.S.M.S. NEW YORK","LUNCHEON","COMMERCIAL","EN ROUTE","CARD; 4 X 6.25;","","FLAG; PRICED WINE LIST AND EXCHANGE RATES ON BACK;","1900-1131","1900-02-18","USMS NEW YORK","DOLLARS","$","COMPLETE",2,99
12505,"","BARTHOLDI HOTEL","BREAKFAST","COMMERCIAL","NY","BROADSIDE; COL; 7 X 11.75;","DAILY","VERY POOR CONDITION;","1900-1137","1900-02-18","BARTHOLDI HOTEL","DOLLARS","$","COMPLETE",2,203
12506,"","BARTHOLDI HOTEL","LUNCH  DINNER","COMMERCIAL","23RD ST  BWAY NY","FOLDER; ILLUS;8.25 X 14;","DAILY","MANY ITEMS HANDWRITTEN; HOURS INCLUDED;","1900-1138","1900-02-18","BARTHOLDI HOTEL","DOLLARS","$","COMPLETE",4,336
12507,"","HAAN'S","SUPPER","COMMERCIAL","75 ST  COLUMBUS AVE NY","BROADSHEET; COL; 7 X 11;","DAILY","COMPLETE WINE LIST ON BACK;","1900-1140","1900-02-19","HAANS","DOLLARS","$","COMPLETE",2,392
12508,"","HOTEL MARIE ANTOINETTE","LUNCHEON","COMMERCIAL","66 ST  BWAY NY","BROADSIDE; HOTEL EMBLEM; 4.5 X 7.5;","DAILY","","1900-1141","1900-02-19","HOTEL MARIE ANTOINETTE","DOLLARS","$","COMPLETE",2,82
12509,"","RED STAR LINE - S.S. SOUTHWARK","DINNER","COMMERCIAL","EN ROUTE","BROADSHEET; ILLUS; COL; 5 X 8;","DAILY","MENU HANDWRITTEN;WINE LIST ON BACK;","1900-1169","1900-02-20","RED STAR LINE SS SOUTHWARK","FRANCS","FF","COMPLETE",2,56
12510,"","HOTEL MARIE ANTOINETTE","DINNER","COMMERCIAL","66 ST  BWAY NY","BROADSIDE; HOTEL EMBLEM; COL; 6.5 X 9;","DAILY","","1900-1173","1900-02-20","HOTEL MARIE ANTOINETTE","DOLLARS","$","COMPLETE",2,128
12511,"","THIRD PANEL SHERIFF'S JURY NEW YORK COUNTY","ANNUAL DINNER","POL","HOTEL SAVOYNEW YORKNY","BOOKLET;ILL;COL;4.25X6.25;","ANNIVERSARY","WINES SERVED;INDIVIDUAL'S NAME ON FRONT COVER;FOUR STANZAS OF THE STAR SPANGLED BANNER WRITTEN OUT;NAMES;SEATING PLAN ATTACHED;","1900-1174","1900-02-20","THIRD PANEL SHERIFFS JURY NEW YORK COUNTY","","","COMPLETE",12,35
12516,"","REVERE HOUSE","COMPLIMENTARY BANQUET GIVEN BY THE CITY GOVERNMENT OF BOSTON TO THE BOARDS OF TRADE OF THE WESTERN CITIES","RESTAURANT","BOSTON MA","BROADSIDE; ILLUS; 4.25 X 11.75","","MENU PRINTED IN BLACK ON CREAM SILK RIBBON WITH OVERSEWN SIDES; UNPRICED; ILLUSTRATION OF CITY AND COMMERCE SCENES; OUT OF PLACE MENU","1865-0001","1865-09-28","PARKER HOUSE","DOLLARS","$","COMPLETE",4,422
12517,"","NATIONAL VERBANDES DEUTSCH AMERIKANISCHER JOURNALISTEN UND SCHRIFTSTELLER (UNUSUAL)","FESTBANKETT","RESTAURANT","DER LIEDERKRANZ HALLE","BOOKLET; ILLUS; COL; 6 X 7.5","","MENU IS IN GERMAN; FOOD SELECTIONS REPRESENT VARIOUS REGIONS OF JOURNALISM IN EUROPE AND AMERICA; WINES ARE IN RED IN THE MARGIN NEXT TO APPROPRIATE COURSE; SCHEDULE OF MUSIC AND SPEAKERS IS LISTED; COVER HAS LIGHT BROWN SKETCH OF A JOURNALIST'S DESK WITH","1892-0112","1892-05-19","NATIONAL VERBANDES DEUTSCH AMERIKANISCHER JOURNALISTEN UND SCHRIFTSTELLER UNUSUAL","","","COMPLETE",2,21
12518,"","COLUMBIA RESTAURANT","DAILY MENU","COMMERCIAL","48 EAST 14TH STREETNEW YORKNY","FOLDER;ILLUS;7.25X11.5;","DAILY","2 COPIES;WINE LIST;","1901-1527","1901-06-03","COLUMBIA RESTAURANT","DOLLARS","$","COMPLETE",4,475
12519,"","MRS CLUFF","LUNCH","OTHER PRIVATE PARTY","RED ROOMBOHEMIAN CLUB","FOLDER;ILLUS;COL;3.5X7.25;","","MOTHER HOLDING CHILD ON LAP TEASING WITH RATTLE;WINES;","1901-1533","1901-06-04","MRS CLUFF","","","COMPLETE",4,15
12520,"","BAILY CATERING CO.THE","LUNCHEON","COMMERCIAL","MIRROR LAKE PERGOLAPANAMERICAN EXPOSITION","BOOKLET;ILLUS;COL;4.25X3.5;","OTHER COMPLIMENTARY","DELICATELY CUT OUT FLOWERS ON SHORTENED FRONT COVER; RIBBON AT LEFT;","1901-1534","1901-06-05","BAILY CATERING COTHE","","","COMPLETE",7,18
12522,"","NORTHERN STEAMSHIP CO.","BREAKFAST","COMMERCIAL","GREAT NORTHERN RY LINE","BOOKLET;ILLUS;COL;3X3.75;","DAILY","INDIVIDUAL CLUB BREAKFAST;HANDWRITTEN DATE 1901;PRICES SEEM HIGH FOR THIS DATE;","1901-1536","1901-01-01","NORTHERN STEAMSHIP CO","","","COMPLETE",4,12
12523,"","CITIZENS'STEAMBOAT COMPANY","LUNCH","COMMERCIAL","STEAMER SARATOGATROY LINE","BOOKLET;ILLUS;COL;6.25X9;","DAILY","AU SABLE CHASM ON FRONT COVER;BLUE MOUNTAIN LAKE ON BACK COVER;PRICED WINE LIST;","1901-1537","1901-01-01","CITIZENSSTEAMBOAT COMPANY","DOLLARS","$","COMPLETE",8,246
12524,"","NATIONAL ASSOCIATION OF MANUFACTURERS OF THE UNITED STATES OF AMERICA","DINNER","COMMERCIAL","COUNTRY CLUBGROSSE POINTEMI","FOLDER;ILLUS;COL;4X7.5;","","WINES;BUILDING ILLUSTRATED;","1901-1538","1901-06-05","NATIONAL ASSOCIATION OF MANUFACTURERS OF THE UNITED STATES OF AMERICA","","","COMPLETE",4,18
12525,"","HAMBURG-AMERIKA LINIE","DINNER","COMMERCIAL","SCHNELLDAMPFER COLUMBIA","FOLDER; ILLUS; COL; 4.5X7;","OTHER DAILY","GERMAN & ENGLISH; SKETCH OF STEAMSHIP & ROWBOAT ON COVER; MUSICAL PROGRAM ON BACK COVER;","1900-2136","1900-02-25","HAMBURG AMERIKA LINIE","","","COMPLETE",4,28
12526,"","UNION HOTEL & RESTAURANT","DINNER","COMMERCIAL","","BROADSIDE; ILLUS; 5.5X10;","OTHER DAILY","A LA CARTE, PRICED MENU; EAGLE & FLAG AT TOP OF MENU;","1900-2139","1900-02-26","UNION HOTEL  RESTAURANT","DOLLARS","$","COMPLETE",2,71
12527,"","CUNARD LINE","DINNER","COMMERCIAL","RMS CAMPANIA","CARD; ILLUS; COL; 4.5X6.5;","OTHER DAILY","PRICED WINE, TOBACCO LIST ON BACK; CUNARD STEAMSHIP CO. FLAG AT TOP;","1900-2140","1900-02-26","CUNARD LINE","","","COMPLETE",2,93
12528,"","CUNARD LINE","LUNCHEON","COMMERCIAL","RMS  CAMPANIA","CARD; ILLUS; COL; 4.5X6.5;","OTHER DAILY","PRICED WINE, TOBACCO LIST ON BACK; CUNARD STEAMSHIP CO. FLAG AT TOP;","1900-2142","1900-02-26","CUNARD LINE","DOLLARS","$","COMPLETE",2,87
12529,"","NEW YORK MEDICAL CLUB","DINNER","PROF","MANHATTAN HOTEL NEW YORK NY","FOLDER; ILLUS; COL; 3X4.5;","","LISTS WINES SERVED WITH INDIVIDUAL COURSES; DECORATIVE WREATH ON COVER;","1900-2144","1900-02-26","NEW YORK MEDICAL CLUB","","","COMPLETE",4,17
12530,"","RED STAR LINE","BREAKFAST","COMMERCIAL","SS WESTERNLAND","CARD; ILLUS; COL; 5X8;","OTHER DAILY","VIOLET SCRIPT PRINTED MENU; MARITIME SCENE ON MENU;","1900-2148","1900-02-26","RED STAR LINE","","","COMPLETE",2,16
12531,"","RED STAR LINE","BREAKFAST","COMMERCIAL","SS SOUTHWARK","CARD; ILLUS; COL; 5X8;","OTHER DAILY","FRENCH & ENGLISH; VIOLET SCRIPT PRINTING; MARITIME SCENE AT TOP OF MENU;","1900-2150","1900-02-26","RED STAR LINE","","","COMPLETE",2,18
12532,"","RED STAR LINE","LUNCH","COMMERCIAL","SS SOUTHWARK","CARD; ILLUS; COL; 5X8;","OTHER DAILY","VIOLET SCRIPT PRINTING; DECORATIVE WREATH;","1900-2151","1900-02-26","RED STAR LINE","","","COMPLETE",2,18
12533,"","RED STAR LINE","DINNER","COMMERCIAL","SS SOUTHWARK","CARD; ILLUS; COL; 5X8;","OTHER DAILY","VIOLET SCRIPT PRINTING; MARITIME SCENE AT TOP; PRICED WINE, TOBACCO LIST ON BACK OF MENU;","1900-2152","1900-02-26","RED STAR LINE","BELGIAN FRANCS","BEF","COMPLETE",2,55
12534,"","PABST BLUE RIBBON","DINNER","COMMERCIAL","PABST BLUE RIBBON","CARD; ILLUS; COL; 5.25X7.75;","","LOGO OF PABST BLUE RIBBON;","1900-2381","1900-03-11","PABST BLUE RIBBON","DOLLARS","$","COMPLETE",2,52
12535,"","MAXWELL HOUSE","DINNER","COMMERCIAL","MAXWELL HOUSE NASHVILLE TN","BROADSIDE; ILLUS; 5.75X7.5;","","ILLUS, PICTURE OF HOTEL;","1900-2386","1900-03-11","MAXWELL HOUSE","","","COMPLETE",2,30
12536,"","MAXWELL HOUSE","LUNCHEON","COMMERCIAL","MAXWELL HOUSE NASHVILLE TN","BROADSIDE; 4.25X6.0;","","","1900-2388","1900-03-11","MAXWELL HOUSE","","","COMPLETE",2,23
12537,"","CUNARD LINE","BREAKFAST","COMMERCIAL","RMS ETRURIA","CARD; ILLUS; COL; 4.5X6.5;","","RED FLAG WITH LION HOLDING GLOBE OF WORLD; PRICED WINE LIST;","1900-2389","1900-03-11","CUNARD LINE","","","COMPLETE",2,90
12538,"","HADDON HALL","DINNER","COMMERCIAL","ATLANTIC CITY NJ","CARD; 5 X 8;","","LOGO; NOTE ABOUT PURITY OF WATER;","1900-2598","1900-03-27","HADDON HALL","","","COMPLETE",2,53
12539,"","GOULD'S HOTEL CAFE","DAILY MENU","COMMERCIAL","BOSTON MA","FOLDER; 8.5 X 12;","","PRICED MENU; PRICED WINE LIST; EXTENSIVE OYSTER AND CLAM MENU;","1900-2611","1900-03-29","GOULDS HOTEL CAFE","DOLLARS","$","COMPLETE",4,539
12545,"","GERMAN RESTAURANT & BUFFET","DAILY MENU","COMMERCIAL","137 E MADISON STCHICAGOILL","FOLDER; ILL; COL; 4.5 X 10.75;","","LIST OF VAUDEVILLE ENTERTAINERS FOR THE WEEK;","1900-2618","1900-03-30","GERMAN RESTAURANT  BUFFET","DOLLARS","$","COMPLETE",4,113
12546,"","MR. JOHN MORGAN","DINNER","RELIG","CATHOLIC CLUB BANQUET HALLNY","FOLDER;COL;7.5X7.5;","COMPLIMENTARYTESTIMONIAL","WINES;RIBBON AT LEFT;","1901-1547","1901-06-06","MR JOHN MORGAN","","","COMPLETE",4,19
12549,"","OCEANIC STEAMSHIP COMPANY","LUNCH","COMMERCIAL","SS VENTURA","CARD;ILLUS;COL;5.5X7;","DAILY","CARD;FLAG;","1901-1552","1901-06-06","OCEANIC STEAMSHIP COMPANY","","","COMPLETE",2,35
12550,"","OCEANIC STEAMSHIP COMPANY","DINNER","COMMERCIAL","SS VENTURA","CARD;ILLUS;COL;5.5X8.5;","DAILY","CARD;FLAG;","1901-1553","1901-06-06","OCEANIC STEAMSHIP COMPANY","","","COMPLETE",2,42
12551,"","NORDDEUTSCHER LLOYD BREMEN","SUPPER","COMMERCIAL","EN ROUTE ABOARD KONIGIN LUISE","CARD, ILLUS; COL; 5.5 X 8;","","MENU IN GERMAN AND ENGLISH; ILLUSTRATION OF ROW BOAT. STEAMER AND ROCKY SHORE; SIMPLER MENU THAN 1901-1554; BACK SET UP FOR USE AS POSTCARD;","1901-1557","1901-06-06","NORDDEUTSCHER LLOYD BREMEN","","","COMPLETE",2,20
12552,"","RHODE ISLAND MEDICAL SOCIETY","DINNER","PROF","PROVIDENCE RI","CARD; 4.25 X 6.75;","ANNIVERSARY","PLACE HANDWRITTEN BY FEB;","1901-1558","1901-06-06","RHODE ISLAND MEDICAL SOCIETY","","","COMPLETE",2,18
12553,"","OCEANIC STEAMSHIP COMPANY","LUNCH","COMMERCIAL","EN ROUTE ABOARD SS VENTURA","CARD;ILLUS; COL; 5.5 X 8.5;","","CARD;FLAG;","1901-1560","1901-06-07","OCEANIC STEAMSHIP COMPANY","","","COMPLETE",2,39
12554,"","HOTEL DEL CORONADO","LUNCHEON","COMMERCIAL","CORONADO BEACH CA","CARD; 4.5X7.5;","","MUSIC PROGRAMME LISTED ON MENU;","1900-4113","1900-08-21","HOTEL DEL CORONADO","","","COMPLETE",2,58
12555,"","LONG BEACH HOTEL","ANNUAL OUTING","COMMERCIAL","LONG BEACH LI NY","BROADSHEET; 4.5X7.0;","","","1900-4117","1900-08-21","LONG BEACH HOTEL","","","COMPLETE",2,20
12556,"","GRAND HOTEL L'D.","DINNER","COMMERCIAL","YOKOHAMA JAPAN","FOLDER; ILLUS; COL; 6.5X9.5;","","FRONT COVER ILLUS, ""BILL OF FARE"" OVER DRAWING OF HOTEL AGAINST BACKGROUND OF CHRYSANTHEMUMS; BACK COVER ILLUS TWO GEISHAS WITH UMBRELLAS BEFORE BACKGROUND OF TEMPLE GARDEN; THE GRAND HOTEL BAND PROGRAMME ON BACK COVER; INSIDE ILLUS, WOMAN AND CHILD ON FO","1900-4126","1900-08-21","GRAND HOTEL LD","DOLLARS","$","COMPLETE",4,152
12557,"","HOTEL VICTORY","DINNER","COMMERCIAL","PUTINBAYISLAND OH","CARD; 4.75X7.25;","","","1900-4128","1900-08-22","HOTEL VICTORY","","","COMPLETE",2,36
12558,"","BRISTOL HOTEL","DINNER","COMMERCIAL","NAPLES ITALY","BROADSIDE; ILLUS; 5.5X8.75;","OTHER DAILY","FRENCH; TABLE D'HOTE MENU; HANDWRITTEN; SKETCHES OF HOTEL & VIEW OF POSILLIPO;","1900-2154","1900-02-26","BRISTOL HOTEL","","","COMPLETE",2,11
